move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,Qf2 e5,h3 Qf5,Qh4 Qxc2,Bb5+ Bd7,Nge2 a6,Bc4 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qf2 e6,Bd3 Bb4,Ne2 Nd5,O-O O-O,Bd2 Nd7,a3 Nxc3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qb4,O-O-O Nc6,Nb5 Qa5,Qf2 Ng4,Bb6 Qxb5,Rd8+ Kxd8,Qd2+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qe5,O-O-O c6,h3 Bf5,Bc4 Be4,Qf2 e6,Bd4 Qg5+,Kb1 Qxg2
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Qxd4,Nb5 Qb4+,c3 Qxb2,Nxc7+ Ke7,Rd1 Nd5,Nxd5+ exd5,Qxd5 Qxc3+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bb5+ c6,Bd3 Bd6,Nge2 Qc7,Bg5 Nbd7,O-O-O Qa5,Bd2 Qh5,Qf1 Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Bd3 Bg4,Qf2 e6,Nge2 Bxe2,Nxe2 Nbd7,O-O c5,g4 Qe7,g5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bg5 Bg7,Qd2 h6,Bf4 c6,Bc4 b5,Bb3 e6,O-O a6,Rae1 Nbd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bg5 Bg7,Qd2 h6,Bf4 c6,Bc4 Nbd7,O-O Nb6,Bb3 Nbd5,Ne5 Be6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bc4 Bg4,Ne5 Qc8,Bxf7+ Kd8,Qd3 Qf5,Qe3 Qxc2,O-O Nd5,Bxd5 cxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,Ne5 O-O,Qe2 e6,Be3 Nbd7,Bg5 c6,O-O-O Qc7,h4 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qf2 e6,h3 Bf5,Nf3 Bd6,O-O-O Nbd7,g4 Ne4,Nxe4 Bxe4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,O-O O-O,Qe1 c6,Qh4 Bg4,Bg5 Bxf3,Rxf3 Nbd7,Raf1 Nb6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,O-O O-O,Qe1 Nc6,Bg5 Bg4,Rd1 Na5,Be2 Nd5,Qh4 Bf5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,O-O O-O,Qe1 Nc6,Bg5 Ng4,Rd1 Kh8,Nd5 f6,Bf4 e5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Bd7,Nge2 e6,O-O Bd6,Bg5 Qe7,Ne4 Ne5,dxe5 Bc5+,Kh1
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 g6,Bf4 Bg7,Nb5 Na6,Ne2 c6,Na3 O-O,O-O-O Nb4,Bd2 a5,c3 Bg4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 Nbd7,Qe2 c6,O-O Nb6,Rae1 h6,Bd2 Nbd5,a3 Nxc3
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,Ne5 O-O,O-O Nbd7,Bg5 c6,Qd3 Nb6,Bb3 Nbd5,Rae1 Be6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bc4 h6,O-O e6,Qe2 Be7,Bf4 Nbd7,Rad1 Nb6,Bb3 O-O,Ne5 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,Ne5 O-O,Bg5 Nbd7,O-O c6,Bb3 Nxe5,dxe5 Qb6+,Kh1 Ng4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Bd3 c6,O-O Nbd7,Qe1 Nb6,Rd1 Qd6,Qh4 Nbd5,Ne5 Nxc3
