move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Bd7,Bxc6 Bxc6,d5 Bd7,Bg5 Bg4,Qg3 Bf5,O-O-O Qd7,d6 cxd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nb4,Bd2 Nbxd5,Nxd5 Nxd5,Bb5+ c6,Bc4 Be6,O-O-O b5,Bxd5 Bxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 a6,Bxc6+ bxc6,Qxc6+ Nd7,Nd5 e6,Nxc7+ Ke7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 h6,Bc4 a6,O-O e6,Be3 Bd6,h3 O-O,Qe2 Nbd7,Rad1 Nb6,Bd3 Nbd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bb5 Bd7,O-O e6,a3 a6,Bd3 b5,Qe2 Bc8,Be3 Bd6,Rad1 Ng4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,Bd3 e6,O-O-O Bd7,Be2 Nc6,Bf4 Be7,Nb5 Bd6,Bxd6 cxd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qb4,O-O-O Nc6,Nb5 Qa5,Bc4 e5,Bg5 Bd6,Bxf6 gxf6,Qxf6 Rf8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Nc6,O-O-O Bd6,d5 Bxf4+,Qxf4 Nxd5,Qg3 O-O,Bc4 Ncb4,a3 Nc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qd8,Rd1 e6,Rxd8+ Kxd8,Bf4 Bb4,Qd3+ Bd7,Nf3 Bxc3+,Qxc3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bd3 e6,O-O Bd6,Qe1 Bd7,h3 Qe7,Bg5 O-O,a3 h6,Be3 Nh5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bd3 Bg4,O-O e6,Bg5 h6,Be3 Bd6,Qe1 Bxf3,Rxf3 Qd7,Rd1 O-O
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Bb4,O-O-O Bxc3,bxc3 O-O,Qg3 Nh5,Qg4 Nxf4,Qxf4 Nc6,Nf3 b6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,O-O O-O,Qe1 Bg4,Qh4 Bxf3,Rxf3 Nc6,Ne2 Na5,Bd3 Qd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bf4 Nc6,Nb5 Bd6,Nxd6+ cxd6,Ne2 e5,dxe5 dxe5,Bd2 e4,Qa3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Ne5,Qg3 Ng6,Nf3 e6,Bb5+ Bd7,dxe6 fxe6,Bg5 Be7,O-O-O c6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 h6,Be3 Bg4,Qd3 Bxf3,gxf3 e6,Bh3 Bb4,Bd2 O-O,O-O-O Nc6,Rhe1 a6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,a3 Be7,Be2 O-O,O-O Nbd7,h3 Nb6,Be3 c6,Qe1 Nbd5,Nxd5 Nxd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nc6,a3 Bxc3+,Nxc3 Nxd4,O-O-O Nxf3,Rxd8+ Kxd8,gxf3 Bd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,Be3 O-O,Qe2 c6,O-O-O a5,h4 b5,g4 a4,Ne5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Qd2 O-O,Bd3 Nc6,Qf4 h6,Bxh6 gxh6,Qxh6 Nxd4,O-O-O c5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bg5 Be7,Qd2 a6,Bd3 O-O,O-O b5,Qf4 Bb7,Qh4 g6,Ne5 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Bg4,Bxd4 Bxf3,Nxf3 Nc6,O-O-O O-O,Bb5 Nxd4,Nxd4 e5,Nb3 Rxd1+
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 e6,O-O Bd6,Be3 O-O,Qe1 Nc6,Ne2 Nd5,Bxd5 exd5,c3 f5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Be3 Bg4,Qf2 e6,h3 Bf5,O-O-O Bb4,Na4 b5,Nc5 Bxc5,dxc5 Qe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nd4,Qd3 c5,dxc6 Nxc6,Bg5 Ne5,Qxd8+ Kxd8,Bd7,Bxf6 exf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 c6,Bg5 Bg4,Qf4 Bh5,Bxf6 gxf6,g4 Bg6,h4 h5,g5 Bg7,O-O-O Qd6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c5,Be3 cxd4,Nxd4 a6,Qd2 e5,Nf3 Qxd2+,Bxd2 Nc6,Bc4 h6,O-O-O Bg4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Bg5 Be7,O-O-O h6,Bxf6 Bxf6,Bd3 Bxd4,Nge2 Bxc3,Nxc3 Nc6,Bg6 fxg6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bd3 Bg4,O-O e6,Bg5 Be7,Qe1 h6,Be3 Bxf3,Rxf3 Nbd7,h3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Qxd4,Be3 Qg4,O-O-O Qxf3,Nxf3 e6,h4 Bb4,Bd4 O-O,Bxf6 gxf6,Ne4 b5
