Antecedent,Consequent,Confidence,Support
"{'h3 Bxf3', 'Qxf3 c6'}",{'Nxf3 Bg4'},1.0,0.04215196894065446
"{'h3 Bxf3', 'Be3 e6', 'Qxf3 c6'}",{'Nxf3 Bg4'},1.0,0.022185246810870772
"{'h3 Bh5', 'Ne5 e6'}",{'g4 Bg6'},1.0,0.021630615640599003
"{'h3 Bh5', 'Nxf3 Bg4', 'Ne5 e6'}",{'g4 Bg6'},1.0,0.02107598447032723
"{'Nxf3 Bg4', 'Nxg6 hxg6'}",{'g4 Bg6'},1.0,0.019412090959511925
"{'h3 Bh5', 'Nxg6 hxg6'}",{'g4 Bg6'},1.0,0.019412090959511925
"{'h3 Bh5', 'Nxf3 Bg4', 'Nxg6 hxg6'}",{'g4 Bg6'},1.0,0.018857459789240156
"{'O-O O-O', 'Bc4 Bg7'}",{'Nxf3 g6'},1.0,0.017193566278424846
"{'Nxf3 Bg4', 'Qf3 c6'}",{'g4 Bg6'},1.0,0.016638935108153077
"{'h3 Bh5', 'Qf3 c6'}",{'g4 Bg6'},1.0,0.016638935108153077
"{'h3 Bh5', 'Nxf3 Bg4', 'Qf3 c6'}",{'g4 Bg6'},1.0,0.01608430393788131
"{'Nxf3 Bg4', 'Ne5 Nbd7'}",{'g4 Bg6'},1.0,0.013865779256794232
"{'Nxf3 Bg4', 'Ne5 Nbd7'}",{'h3 Bh5'},1.0,0.013865779256794232
"{'h3 Bh5', 'Ne5 Nbd7'}",{'Nxf3 Bg4'},1.0,0.013865779256794232
"{'h3 Bh5', 'Ne5 Nbd7'}",{'g4 Bg6'},1.0,0.013865779256794232
"{'Nxf3 Bg4', 'g4 Bg6', 'Ne5 Nbd7'}",{'h3 Bh5'},1.0,0.013865779256794232
"{'h3 Bh5', 'g4 Bg6', 'Ne5 Nbd7'}",{'Nxf3 Bg4'},1.0,0.013865779256794232
"{'h3 Bh5', 'Nxf3 Bg4', 'Ne5 Nbd7'}",{'g4 Bg6'},1.0,0.013865779256794232
"{'Ne5 Nbd7', 'Nxf3 Bg4'}","{'h3 Bh5', 'g4 Bg6'}",1.0,0.013865779256794232
"{'h3 Bh5', 'Ne5 Nbd7'}","{'Nxf3 Bg4', 'g4 Bg6'}",1.0,0.013865779256794232
"{'h3 Bh5', 'Bc4 e6'}",{'Nxf3 Bg4'},1.0,0.010537992235163616
"{'h3 Bxf3', 'Be3 e6'}",{'Nxf3 Bg4'},0.9787234042553191,0.025513033832501388
"{'Nxf3 Bg4', 'Ne5 e6'}",{'g4 Bg6'},0.9761904761904762,0.02273987798114254
"{'Nxf3 Bg4', 'Be3 e6', 'Qxf3 c6'}",{'h3 Bxf3'},0.975609756097561,0.022185246810870772
"{'h3 Bh5', 'Ne5 e6'}",{'Nxf3 Bg4'},0.9743589743589742,0.02107598447032723
"{'h3 Bh5', 'Ne5 e6', 'g4 Bg6'}",{'Nxf3 Bg4'},0.9743589743589742,0.02107598447032723
"{'h3 Bh5', 'Ne5 e6'}","{'Nxf3 Bg4', 'g4 Bg6'}",0.9743589743589742,0.02107598447032723
"{'Nxf3 Bg4', 'Nxg6 hxg6'}",{'h3 Bh5'},0.9714285714285714,0.018857459789240156
"{'h3 Bh5', 'Nxg6 hxg6'}",{'Nxf3 Bg4'},0.9714285714285714,0.018857459789240156
"{'Nxf3 Bg4', 'Nxg6 hxg6', 'g4 Bg6'}",{'h3 Bh5'},0.9714285714285714,0.018857459789240156
"{'h3 Bh5', 'Nxg6 hxg6', 'g4 Bg6'}",{'Nxf3 Bg4'},0.9714285714285714,0.018857459789240156
"{'Nxg6 hxg6', 'Nxf3 Bg4'}","{'h3 Bh5', 'g4 Bg6'}",0.9714285714285714,0.018857459789240156
"{'h3 Bh5', 'Nxg6 hxg6'}","{'Nxf3 Bg4', 'g4 Bg6'}",0.9714285714285714,0.018857459789240156
"{'Nxf3 Bg4', 'g4 Bg6'}",{'h3 Bh5'},0.970873786407767,0.05546311702717693
"{'O-O O-O', 'Nxf3 g6'}",{'Bc4 Bg7'},0.9687499999999999,0.017193566278424846
"{'Nxf3 Bg4', 'Qf3 c6'}",{'h3 Bh5'},0.9666666666666667,0.01608430393788131
"{'h3 Bh5', 'Qf3 c6'}",{'Nxf3 Bg4'},0.9666666666666667,0.01608430393788131
"{'Nxf3 Bg4', 'Qf3 c6', 'g4 Bg6'}",{'h3 Bh5'},0.9666666666666667,0.01608430393788131
"{'h3 Bh5', 'Qf3 c6', 'g4 Bg6'}",{'Nxf3 Bg4'},0.9666666666666667,0.01608430393788131
"{'Nxf3 Bg4', 'Qf3 c6'}","{'h3 Bh5', 'g4 Bg6'}",0.9666666666666667,0.01608430393788131
"{'h3 Bh5', 'Qf3 c6'}","{'Nxf3 Bg4', 'g4 Bg6'}",0.9666666666666667,0.01608430393788131
"{'g4 Bg6', 'Ne5 Nbd7'}",{'Nxf3 Bg4'},0.9615384615384616,0.013865779256794232
"{'g4 Bg6', 'Ne5 Nbd7'}",{'h3 Bh5'},0.9615384615384616,0.013865779256794232
"{'Ne5 Nbd7', 'g4 Bg6'}","{'h3 Bh5', 'Nxf3 Bg4'}",0.9615384615384616,0.013865779256794232
"{'Nxf3 Bg4', 'Qxf3 c6'}",{'h3 Bxf3'},0.9499999999999998,0.04215196894065446
{'Bc4 Bg7'},{'Nxf3 g6'},0.9411764705882354,0.026622296173044926
"{'h3 Bxf3', 'Qxf3 Nc6'}",{'Nxf3 Bg4'},0.9411764705882354,0.01774819744869662
"{'Qf3 c6', 'g4 Bg6'}",{'Nxf3 Bg4'},0.9374999999999999,0.016638935108153077
"{'Qf3 c6', 'g4 Bg6'}",{'h3 Bh5'},0.9374999999999999,0.016638935108153077
{'h3 Bxf3'},{'Nxf3 Bg4'},0.9285714285714286,0.07210205213533001
{'Nxg6 hxg6'},{'g4 Bg6'},0.9285714285714286,0.021630615640599003
"{'Nxf3 Bg4', 'Ne5 e6', 'g4 Bg6'}",{'h3 Bh5'},0.9268292682926829,0.02107598447032723
{'Qxb7 Qxd4'},{'Qxf3 Bg4'},0.9166666666666666,0.012201885745978924
{'Qf3 c6'},{'g4 Bg6'},0.9142857142857144,0.01774819744869662
"{'Ne5 e6', 'g4 Bg6'}",{'Nxf3 Bg4'},0.9111111111111112,0.02273987798114254
"{'Qf3 c6', 'g4 Bg6'}","{'h3 Bh5', 'Nxf3 Bg4'}",0.9062499999999999,0.01608430393788131
"{'Nxf3 Bg4', 'Ne5 e6'}",{'h3 Bh5'},0.9047619047619047,0.02107598447032723
"{'Nxf3 Bg4', 'Ne5 e6'}","{'h3 Bh5', 'g4 Bg6'}",0.9047619047619047,0.02107598447032723
"{'Nxg6 hxg6', 'g4 Bg6'}",{'Nxf3 Bg4'},0.8974358974358974,0.019412090959511925
"{'Nxg6 hxg6', 'g4 Bg6'}",{'h3 Bh5'},0.8974358974358974,0.019412090959511925
"{'Nxf3 Bg4', 'Qxf3 Nc6'}",{'h3 Bxf3'},0.888888888888889,0.01774819744869662
"{'Bg5 Be7', 'O-O-O O-O'}",{'Qxf3 e6'},0.8823529411764706,0.024958402662229616
"{'Bxf6 Bxf6', 'Qxf3 e6'}",{'Bg5 Be7'},0.8823529411764706,0.016638935108153077
{'g4 Bg6'},{'h3 Bh5'},0.8768115942028984,0.06711037160288408
"{'Nxg6 hxg6', 'g4 Bg6'}","{'h3 Bh5', 'Nxf3 Bg4'}",0.8717948717948718,0.018857459789240156
"{'Nxf3 Bg4', 'h3 Bxf3', 'Be3 e6'}",{'Qxf3 c6'},0.8695652173913043,0.022185246810870772
"{'Ne5 e6', 'g4 Bg6'}",{'h3 Bh5'},0.8666666666666668,0.021630615640599003
{'Ne5 e6'},{'g4 Bg6'},0.8653846153846154,0.024958402662229616
"{'Bd3 Nbd7', 'Nxf3 e6'}",{'Bg5 Be7'},0.8636363636363636,0.010537992235163616
"{'Qxf3 Bg4', 'Nb5 Rc8'}",{'Qxb7 Nbd7'},0.8636363636363636,0.010537992235163616
"{'Qxb7 Nbd7', 'Nb5 Rc8'}",{'Qxf3 Bg4'},0.8636363636363636,0.010537992235163616
{'Qf3 c6'},{'Nxf3 Bg4'},0.8571428571428571,0.016638935108153077
{'Qf3 c6'},{'h3 Bh5'},0.8571428571428571,0.016638935108153077
{'Qf3 c6'},"{'Nxf3 Bg4', 'g4 Bg6'}",0.8571428571428571,0.016638935108153077
{'Qf3 c6'},"{'h3 Bh5', 'g4 Bg6'}",0.8571428571428571,0.016638935108153077
"{'h3 Bxf3', 'Be3 e6'}",{'Qxf3 c6'},0.851063829787234,0.022185246810870772
"{'h3 Bxf3', 'Be3 e6'}","{'Nxf3 Bg4', 'Qxf3 c6'}",0.851063829787234,0.022185246810870772
"{'h3 Bh5', 'Nxf3 Bg4'}",{'g4 Bg6'},0.8474576271186441,0.05546311702717693
"{'Ne5 e6', 'g4 Bg6'}","{'h3 Bh5', 'Nxf3 Bg4'}",0.8444444444444444,0.02107598447032723
{'h3 Bh5'},{'g4 Bg6'},0.8344827586206897,0.06711037160288408
{'Nxg6 hxg6'},{'Nxf3 Bg4'},0.8333333333333334,0.019412090959511925
{'Nxg6 hxg6'},{'h3 Bh5'},0.8333333333333334,0.019412090959511925
{'Nxg6 hxg6'},"{'Nxf3 Bg4', 'g4 Bg6'}",0.8333333333333334,0.019412090959511925
